date,open,close,high,low,volume,uOpen,uClose,uHigh,uLow,uVolume,change,changePercent,label,changeOverTime
2019-06-17,1876.5,1886.03,1895.68,1875.45,2634342,1876.5,1886.03,1895.68,1875.45,2634342,16.36,0.875,"Jun 17, 19",0.255629
2019-06-18,1901.35,1901.37,1921.67,1899.79,3895728,1901.35,1901.37,1921.67,1899.79,3895728,15.34,0.8133,"Jun 18, 19",0.265842
2019-06-19,1907.84,1908.79,1919.58,1892.47,2895347,1907.84,1908.79,1919.58,1892.47,2895347,7.42,0.3902,"Jun 19, 19",0.270781
2019-06-20,1933.33,1918.19,1935.2,1905.8,3217153,1933.33,1918.19,1935.2,1905.8,3217153,9.4,0.4925,"Jun 20, 19",0.27704
2019-06-21,1916.1,1911.3,1925.95,1907.58,3933576,1916.1,1911.3,1925.95,1907.58,3933576,-6.89,-0.3592,"Jun 21, 19",0.272452
2019-06-24,1912.66,1913.9,1916.86,1901.3,2282969,1912.66,1913.9,1916.86,1901.3,2282969,2.6,0.136,"Jun 24, 19",0.274183
2019-06-25,1911.84,1878.27,1916.38,1872.42,3012347,1911.84,1878.27,1916.38,1872.42,3012347,-35.63,-1.8616,"Jun 25, 19",0.250463
2019-06-26,1892.48,1897.83,1903.8,1887.32,2441910,1892.48,1897.83,1903.8,1887.32,2441910,19.56,1.0414,"Jun 26, 19",0.263485
2019-06-27,1902.0,1904.28,1911.24,1898.04,2141721,1902.0,1904.28,1911.24,1898.04,2141721,6.45,0.3399,"Jun 27, 19",0.267779
2019-06-28,1909.1,1893.63,1912.94,1884.0,3037358,1909.1,1893.63,1912.94,1884.0,3037358,-10.65,-0.5593,"Jun 28, 19",0.260689
2019-07-01,1922.98,1922.19,1929.82,1914.66,3203347,1922.98,1922.19,1929.82,1914.66,3203347,28.56,1.5082,"Jul 1, 19",0.279703
2019-07-02,1919.38,1934.31,1934.79,1906.63,2651299,1919.38,1934.31,1934.79,1906.63,2651299,12.12,0.6305,"Jul 2, 19",0.287771
2019-07-03,1935.89,1939.0,1941.59,1930.5,1690294,1935.89,1939.0,1941.59,1930.5,1690294,4.69,0.2425,"Jul 3, 19",0.290894
2019-07-05,1928.6,1942.91,1945.9,1925.3,2628359,1928.6,1942.91,1945.9,1925.3,2628359,3.91,0.2017,"Jul 5, 19",0.293497
2019-07-08,1934.12,1952.32,1956.0,1928.25,2883371,1934.12,1952.32,1956.0,1928.25,2883371,9.41,0.4843,"Jul 8, 19",0.299762
2019-07-09,1947.8,1988.3,1990.01,1943.47,4345698,1947.8,1988.3,1990.01,1943.47,4345698,35.98,1.8429,"Jul 9, 19",0.323715
2019-07-10,1996.51,2017.41,2024.94,1995.4,4931902,1996.51,2017.41,2024.94,1995.4,4931902,29.11,1.4641,"Jul 10, 19",0.343095
2019-07-11,2025.62,2001.07,2035.8,1995.3,4317766,2025.62,2001.07,2035.8,1995.3,4317766,-16.34,-0.8099,"Jul 11, 19",0.332217
2019-07-12,2008.27,2011.0,2017.0,2003.87,2509297,2008.27,2011.0,2017.0,2003.87,2509297,9.93,0.4962,"Jul 12, 19",0.338828
2019-07-15,2021.4,2020.99,2022.9,2001.55,2981343,2021.4,2020.99,2022.9,2001.55,2981343,9.99,0.4968,"Jul 15, 19",0.345479
2019-07-16,2010.58,2009.9,2026.31,2001.22,2618198,2010.58,2009.9,2026.31,2001.22,2618198,-11.09,-0.5487,"Jul 16, 19",0.338096
2019-07-17,2007.05,1992.03,2012.0,1992.03,2558809,2007.05,1992.03,2012.0,1992.03,2558809,-17.87,-0.8891,"Jul 17, 19",0.326199
2019-07-18,1980.01,1977.9,1987.5,1951.55,3504252,1980.01,1977.9,1987.5,1951.55,3504252,-14.13,-0.7093,"Jul 18, 19",0.316792
2019-07-19,1991.21,1964.52,1996.0,1962.22,3185612,1991.21,1964.52,1996.0,1962.22,3185612,-13.38,-0.6765,"Jul 19, 19",0.307884
2019-07-22,1971.14,1985.63,1989.0,1958.26,2908111,1971.14,1985.63,1989.0,1958.26,2908111,21.11,1.0746,"Jul 22, 19",0.321938
2019-07-23,1995.99,1994.49,1997.79,1973.13,2703480,1995.99,1994.49,1997.79,1973.13,2703480,8.86,0.4462,"Jul 23, 19",0.327836
2019-07-24,1969.3,2000.81,2001.3,1965.87,2631300,1969.3,2000.81,2001.3,1965.87,2631300,6.32,0.3169,"Jul 24, 19",0.332044
2019-07-25,2001.0,1973.82,2001.2,1972.72,4136461,2001.0,1973.82,2001.2,1972.72,4136461,-26.99,-1.349,"Jul 25, 19",0.314075
2019-07-26,1942.0,1943.05,1950.89,1924.51,4927143,1942.0,1943.05,1950.89,1924.51,4927143,-30.77,-1.5589,"Jul 26, 19",0.29359
2019-07-29,1930.0,1912.45,1932.22,1890.54,4493190,1930.0,1912.45,1932.22,1890.54,4493190,-30.6,-1.5748,"Jul 29, 19",0.273218
2019-07-30,1891.11,1898.53,1909.89,1883.48,2910888,1891.11,1898.53,1909.89,1883.48,2910888,-13.92,-0.7279,"Jul 30, 19",0.263951
2019-07-31,1898.11,1866.78,1899.55,1849.44,4470727,1898.11,1866.78,1899.55,1849.44,4470727,-31.75,-1.6723,"Jul 31, 19",0.242813
2019-08-01,1871.72,1855.32,1897.92,1844.01,4713311,1871.72,1855.32,1897.92,1844.01,4713311,-11.46,-0.6139,"Aug 1, 19",0.235184
